rank,drug,score,drug_name
85,Compound::DB08713,13.125263,"2,6-dimethyl-1-(3-[3-methyl-5-isoxazolyl]-propanyl)-4-[2n-methyl-2h-tetrazol-5-yl]-phenol"
86,Compound::DB13412,13.107523,unknown
87,Compound::DB04740,13.090509,MOX
88,Compound::DB13818,13.090367,Noviform
89,Compound::DB13714,13.073456,Xibornol
90,Compound::DB13753,13.066897,Cetiedil
91,Compound::DB04822,13.066895,Oxeladin
92,Compound::DB02841,13.064512,[(2-ETHOXY-1-NAPHTHOYL)AMINO]METHYLBORONIC ACID
93,Compound::DB01574,13.061794,Attapulgus clay
94,Compound::DB13132,13.061155,artemisinin
95,Compound::DB13260,13.053909,unknown
96,Compound::DB03330,13.03417,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-[(R)-hydroxy-(N-hydroxy-4-iodoanilino)methyl]sulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid
97,Compound::DB13272,13.025639,Meladrazine
98,Compound::DB13444,13.013881,Ioxitalamic acid
99,Compound::DB07505,13.010584,"N-({(3R,4R)-4-[(benzyloxy)methyl]pyrrolidin-3-yl}methyl)-N-(2-methylpropyl)benzenesulfonamide"
100,Compound::DB04328,13.005457,shikimate-3-phosphate
