rank,drug,score,drug_name
81,Compound::DB12744,8.679759,JI-101
82,Compound::DB02861,8.6614685,"4-(AMINOSULFONYL)-N-[(3,4,5-TRIFLUOROPHENYL)METHYL]-BENZAMIDE"
83,Compound::DB12367,8.640171,Selurampanel
84,Compound::DB13072,8.600857,GDC-0349
85,Compound::DB11836,8.575921,Sapanisertib
86,Compound::DB12629,8.550901,"3,5-Diiodothyropropionic acid"
87,Compound::DB03437,8.529717,"(2R,4S)-2-[(1R)-1-{[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-2-oxoethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid"
88,Compound::DB02016,8.5215,Ro 48-8071
89,Compound::DB14895,8.516038,VIBEGRON
90,Compound::DB07319,8.503941,"6-(3-BROMO-2-NAPHTHYL)-1,3,5-TRIAZINE-2,4-DIAMINE"
91,Compound::DB07389,8.469908,N-[2-(6-Amino-4-methylpyridin-2-yl)ethyl]-4-cyanobenzamide
92,Compound::DB06511,8.453332,unknown
93,Compound::DB12135,8.446793,unknown
94,Compound::DB05241,8.414285,unknown
95,Compound::DB14035,8.391104,englitazone
96,Compound::DB12109,8.377919,95809-78-2
97,Compound::DB08011,8.359894,"(3e)-5-Fluoro-1-[(6-Fluoro-4h-1,3-Benzodioxin-8-Yl)methyl]-1h-Indole-2,3-Dione 3-Oxime"
98,Compound::DB06075,8.3546295,OSI-906
99,Compound::DB12988,8.345452,425671-29-0
100,Compound::DB14029,8.340619,CHEMBL372638
